tag             min_meta_client     min_meta_server     
--------------------------------------------------------
0.0.120         0.7.59              0.8.30              
0.0.121         0.7.59              0.8.30              
0.0.122         0.7.59              0.8.30              
0.0.123         0.7.59              0.8.30              
0.0.124         0.7.59              0.8.30              
0.0.125         0.7.59              0.8.30              
0.0.126         0.7.59              0.8.30              
0.0.127         0.7.59              0.8.30              
0.0.128         0.7.59              0.8.30              
0.0.129         0.7.59              0.8.30              
0.0.130         0.7.59              0.8.30              
0.0.131         0.7.59              0.8.30              
0.0.132         0.7.59              0.8.30              
0.0.133         0.7.59              0.8.30              
0.0.134         0.7.59              0.8.30              
0.0.135         0.7.59              0.8.30              
0.0.136         0.7.59              0.8.30              
0.0.137         0.7.59              0.8.30              
0.0.138         0.7.59              0.8.30              
0.0.139         0.7.59              0.8.30              
0.0.140         0.7.59              0.8.30              
0.0.141         0.7.59              0.8.30              
0.0.142         0.7.59              0.8.30              
0.0.143         0.7.59              0.8.30              
0.0.144         0.7.59              0.8.30              
0.0.145         0.7.59              0.8.30              
0.0.146         0.7.59              0.8.30              
0.0.147         0.7.59              0.8.30              
0.0.148         0.7.59              0.8.30              
0.0.149         0.7.59              0.8.30              
0.0.150         0.7.59              0.8.30              
0.0.151         0.7.59              0.8.30              
0.0.152         0.7.59              0.8.30              
0.0.153         0.7.59              0.8.30              
0.0.154         0.7.59              0.8.30              
0.0.155         0.7.59              0.8.30              
0.0.156         0.7.59              0.8.30              
0.0.157         0.7.59              0.8.30              
0.0.158         0.7.59              0.8.30              
0.0.159         0.7.59              0.8.30              
0.0.160         0.7.59              0.8.30              
0.0.161         0.7.59              0.8.30              
0.0.162         0.7.59              0.8.30              
0.0.163         0.7.59              0.8.30              
0.0.164         0.7.59              0.8.30              
0.0.165         0.7.59              0.8.30              
0.0.166         0.7.59              0.8.30              
0.0.167         0.7.59              0.8.30              
0.0.168         0.7.59              0.8.30              
0.0.169         0.7.59              0.8.30              
0.0.170         0.7.59              0.8.30              
0.0.171         0.7.59              0.8.30              
0.0.172         0.7.59              0.8.30              
0.0.173         0.7.59              0.8.30              
0.0.174         0.7.59              0.8.30              
0.0.175         0.7.59              0.8.30              
0.0.176         0.7.59              0.8.30              
0.0.177         0.7.59              0.8.30              
0.0.178         0.7.59              0.8.30              
0.0.179         0.7.59              0.8.30              
0.0.180         0.7.59              0.8.30              
0.0.181         0.7.59              0.8.30              
0.0.182         0.7.59              0.8.30              
0.0.183         0.7.59              0.8.30              
0.0.184         0.7.59              0.8.30              
0.0.185         0.7.59              0.8.30              
0.0.186         0.7.59              0.8.30              
0.0.187         0.7.59              0.8.30              
0.0.188         0.7.59              0.8.30              
0.0.189         0.7.59              0.8.30              
0.0.190         0.7.59              0.8.30              
0.0.191         0.7.59              0.8.30              
