crate	0BSD	Apache-2.0	Apache-2.0 WITH LLVM-exception	BSD-2-Clause	BSD-3-Clause	BSL-1.0	CC0-1.0	CDLA-Permissive-2.0	ISC	LGPL-2.1-or-later	MIT	Unicode-3.0	Unlicense	Zlib
adler2@2.0.1	X	X									X			
ahash@0.8.12		X									X			
aho-corasick@1.1.4											X		X	
alloc-no-stdlib@2.0.4					X									
alloc-stdlib@0.2.2					X									
allocator-api2@0.2.21		X									X			
android_system_properties@0.1.5		X									X			
anyhow@1.0.100		X									X			
apache-avro@0.21.0		X												
array-init@2.1.0		X									X			
arrayvec@0.7.6		X									X			
arrow-arith@57.1.0		X												
arrow-array@57.1.0		X												
arrow-buffer@57.1.0		X												
arrow-cast@57.1.0		X												
arrow-data@57.1.0		X												
arrow-ipc@57.1.0		X												
arrow-ord@57.1.0		X												
arrow-schema@57.1.0		X												
arrow-select@57.1.0		X												
arrow-string@57.1.0		X												
as-any@0.3.2		X									X			
async-broadcast@0.7.2		X									X			
async-lock@3.4.1		X									X			
async-recursion@1.1.1		X									X			
async-trait@0.1.89		X									X			
atoi@2.0.0											X			
atomic-waker@1.1.2		X									X			
autocfg@1.5.0		X									X			
aws-config@1.8.11		X												
aws-credential-types@1.2.10		X												
aws-runtime@1.5.16		X												
aws-sdk-glue@1.132.0		X												
aws-sdk-s3tables@1.46.0		X												
aws-sdk-sso@1.90.0		X												
aws-sdk-ssooidc@1.92.0		X												
aws-sdk-sts@1.94.0		X												
aws-sigv4@1.3.6		X												
aws-smithy-async@1.2.7		X												
aws-smithy-http@0.62.6		X												
aws-smithy-http-client@1.1.5		X												
aws-smithy-json@0.61.8		X												
aws-smithy-observability@0.1.5		X												
aws-smithy-query@0.60.9		X												
aws-smithy-runtime@1.9.5		X												
aws-smithy-runtime-api@1.9.3		X												
aws-smithy-types@1.3.5		X												
aws-smithy-xml@0.60.13		X												
aws-types@1.3.10		X												
backon@1.6.0		X												
base64@0.22.1		X									X			
base64-simd@0.8.0											X			
bigdecimal@0.4.9		X									X			
bimap@0.6.3		X									X			
bitflags@2.10.0		X									X			
block-buffer@0.10.4		X									X			
bon@3.8.1		X									X			
bon-macros@3.8.1		X									X			
brotli@8.0.2					X						X			
brotli-decompressor@5.0.0					X						X			
bumpalo@3.19.0		X									X			
bytemuck@1.24.0		X									X			X
byteorder@1.5.0											X		X	
bytes@1.11.0											X			
bytes-utils@0.1.4		X									X			
cc@1.2.49		X									X			
cfg-if@1.0.4		X									X			
cfg_aliases@0.2.1											X			
chrono@0.4.42		X									X			
concurrent-queue@2.5.0		X									X			
const-oid@0.9.6		X									X			
const-random@0.1.18		X									X			
const-random-macro@0.1.16		X									X			
core-foundation@0.10.1		X									X			
core-foundation-sys@0.8.7		X									X			
cpufeatures@0.2.17		X									X			
crc@3.4.0		X									X			
crc-catalog@2.4.0		X									X			
crc32c@0.6.8		X									X			
crc32fast@1.5.0		X									X			
crossbeam-channel@0.5.15		X									X			
crossbeam-epoch@0.9.18		X									X			
crossbeam-queue@0.3.12		X									X			
crossbeam-utils@0.8.21		X									X			
crunchy@0.2.4											X			
crypto-common@0.1.7		X									X			
darling@0.20.11											X			
darling@0.21.3											X			
darling_core@0.20.11											X			
darling_core@0.21.3											X			
darling_macro@0.20.11											X			
darling_macro@0.21.3											X			
dashmap@6.1.0											X			
deranged@0.5.5		X									X			
derive_builder@0.20.2		X									X			
derive_builder_core@0.20.2		X									X			
derive_builder_macro@0.20.2		X									X			
digest@0.10.7		X									X			
displaydoc@0.2.5		X									X			
dissimilar@1.0.10		X												
either@1.15.0		X									X			
